Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,CurrencyIsoCode,Name,CloseDate,StageName
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - France Q1 2016,2016-03-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - France Q1 2016 RTG,2016-03-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - France RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global & Local RTG Jun-Dec 2016,2016-08-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global Change Campaign 2016 - Upper Funnel,2016-09-30,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global Marketing Retargeting Q1,2016-01-02,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global Pricing Campaign Q1 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global Push2 Ekstra budget,2016-01-02,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global STG3,2016-08-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Greece RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Hong Kong Lead RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Hong Kong RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Hungary RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Italy RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Latin Q1 2016 RTG,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Latin RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Lead AU Q1 2016 RTG,2016-03-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Lead HK Q1 2016 RTG,2016-03-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Lead SG Q1 2016 RTG,2016-03-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Middle East RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Netherlands Lead RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Netherlands Q1 2016 RTG + Lead RTG,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Netherlands RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Norway Q1 2016 RTG,2016-03-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Norway RTG Q2 2016,2016-05-31,Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Poland Q1 2016 RTG,2016-03-31,Closed Won
